competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
SAJAguasdaPrata2025,8.6,f,B,4,UR5- DR5- DL2+ UL2+ U4- R5- D6+ L1- ALL6+ y2 U5- R3+ D4- L0+ ALL2+,8,DL3- U5- R3+ /3- y2 ur2+ DR4+ UR5+ /5+
SAJAguasdaPrata2025,8.6,f,B,5,UR0+ DR2+ DL3+ UL3+ U3+ R2- D0+ L2- ALL0+ y2 U1- R3+ D2- L2- ALL4+,8,DL2+ UL6- D5+ ALL4+ y2 ul5- U4+ DL2+ UR3-
SJTUOpen2018,8.6,1,B,1,UR0+ DR5- DL1+ UL4- U4- R1+ D1- L2- ALL3+ y2 U2- R2+ D0+ L0+ ALL5- UR DR DL,8,DL5+ U4- R4+ ur6- y2 ur1+ R2- U2+ \4+
SJTUOpen2018,8.6,1,B,2,UR5- DR1+ DL1+ UL1+ U4+ R2- D6+ L3- ALL2- y2 U3+ R1- D3- L4+ ALL2+ DR DL UL,10,DR1- DL1+ R5- D4+ y2 ul2- dr1+ D3+ UL4- UR1+ ALL4-
SJTUOpen2018,8.6,1,B,3,UR3+ DR1- DL0+ UL5- U1- R4+ D4+ L5- ALL1+ y2 U3+ R3+ D0+ L3- ALL3+ DR DL,8,UR3- DR3- UL2- U4- y2 L3+ UR3- \4+ ALL2+
SJTUOpen2018,8.6,1,B,4,UR5- DR4- DL5+ UL3+ U2- R5+ D5- L5- ALL4- y2 U3+ R2+ D0+ L3+ ALL3+ UR DR DL,8,DR4+ UL3- U5- dl4+ y2 dr1- R2- UL3- /5-
SJTUOpen2018,8.6,1,B,5,UR4- DR1- DL5+ UL3+ U3+ R2- D2- L6+ ALL1+ y2 U3- R0+ D3+ L4- ALL3+,9,UR5- DL2- U3+ /5- y2 dl4+ D5+ U3+ DL4+ /3-
SPBIsland2018,8.6,1,B,1,UR2+ DR2+ DL3+ UL4- U6+ R1- D0+ L4+ ALL2+ y2 U4- R2+ D2+ L3- ALL5+ UR,10,DR2- DL3- U4- R1- dr4- y2 U4+ L3+ DR2- /2- ALL5-
SPBIsland2018,8.6,1,B,2,UR0+ DR4+ DL0+ UL1+ U4+ R4- D5+ L4+ ALL4- y2 U2+ R5- D4- L0+ ALL3- UR DR DL UL,8,UL5- D3+ ul5+ /1- y2 dl1+ D4+ R5- UR2-
SPBIsland2018,8.6,1,B,3,UR1+ DR0+ DL4+ UL2+ U0+ R6+ D4- L4- ALL2- y2 U5- R0+ D2- L0+ ALL4+ DR DL UL,7,UR1- UL2- R6- ALL6- y2 ul4- D2+ U5+
