competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
IndianNationals2016,15.67,d,C,5,UR5- DR5- DL5+ UL1+ U1- R3+ D1+ L5+ ALL3- y2 U2- R0+ D2+ L1+ ALL5+ UR DR DL UL,18,"UR(5,5) DR(2,2) D(-3,-2) L(1,-1) dr(-1,2) ul(-1,0) ALL(-4,0)"
SensOpen2018,15.67,c,B,1,UR1- DR5+ DL3+ UL4+ U4- R0+ D6+ L6+ ALL1+ y2 U3+ R1+ D4- L3- ALL3+ UR DR UL,16,"UR(1,1) DR(-1,0) DL(-1,1) R(-4,-1) ur(1,1) dr(-4,-4) ul(2,2) /(-2,0)"
SensOpen2018,15.67,c,B,2,UR0+ DR4- DL2- UL1+ U1+ R1+ D3+ L4+ ALL2- y2 U5- R6+ D0+ L0+ ALL1+ DR,15,"UR(-1,-1) DR(3,-3) UL(-1,1) R(1,-1) L(-2,0) ul(0,-5) /(-2,-1)"
SensOpen2018,15.67,c,B,3,UR2- DR4+ DL3+ UL3+ U0+ R0+ D3+ L5+ ALL1+ y2 U0+ R1- D0+ L5+ ALL1+ DR DL,14,"UR(-1,1) DR(-1,2) D(3,-2) L(1,2) ur(2,3) ul(3,-1)"
SensOpen2018,15.67,c,B,4,UR4- DR1+ DL6+ UL5- U2- R1+ D2+ L3+ ALL5+ y2 U4- R6+ D3- L4- ALL5- UR DR UL,20,"UR(-1,0) DR(3,-3) L(-4,-3) ur(0,-1) dl(3,-3) ul(-3,-3) /(-5,3)"
SensOpen2018,15.67,c,B,5,UR1- DR1+ DL0+ UL4- U6+ R1+ D3- L3+ ALL1- y2 U3- R6+ D3- L1- ALL4+ DR,16,"UR(-1,1) DL(1,0) R(0,-1) D(1,0) dr(-4,-1) dl(0,-2) ul(3,-3) \(-2,-3)"
AutotaloAnimeAdventureIII2024,16.0,d,B,1,UR4+ DR4+ DL2- UL4+ U3+ R6+ D4- L1+ ALL1+ y2 U1- R0+ D1+ L0+ ALL4-,16,"DL(2,2) U(1,1) R(-2,0) L(-5,1) ur(-1,-1) /(0,1) \(0,4)"
AutotaloAnimeAdventureIII2024,16.0,d,B,2,UR1- DR4+ DL4- UL2+ U6+ R1- D1+ L1+ ALL3- y2 U2+ R2+ D2- L1+ ALL0+,15,"DR(-2,2) UL(1,1) U(4,-4) D(1,1) ur(0,1) dl(2,2) /(1,-2) ALL(0,2)"
AutotaloAnimeAdventureIII2024,16.0,d,B,3,UR0+ DR0+ DL5- UL1+ U1- R2- D5- L3- ALL1+ y2 U0+ R0+ D6+ L5+ ALL3+,18,"UR(0,1) DR(2,2) DL(-4,-2) L(-1,-1) dr(3,6) \(2,-4)"
AutotaloAnimeAdventureIII2024,16.0,d,B,4,UR2+ DR1- DL1+ UL3+ U2- R1- D1+ L1+ ALL0+ y2 U1+ R5+ D1- L6+ ALL0+,16,"DL(-1,2) UL(-3,-2) R(0,4) L(-1,-5) dr(1,-1) ul(0,1)"
AutotaloAnimeAdventureIII2024,16.0,d,B,5,UR5- DR3- DL6+ UL6+ U0+ R3+ D2- L1- ALL5- y2 U0+ R4+ D3+ L0+ ALL3+,16,"UR(-1,1) DR(-2,-1) DL(1,-1) R(-4,1) dl(-2,3) \(-3,-5)"
BPPCF2025,16.0,f,A,1,UR5+ DR5+ DL3+ UL1+ U1+ R3+ D0+ L4- ALL3+ y2 U1- R1- D2- L2- ALL4+,16,"UR(-5,3) DR(4,1) U(-2,-2) L(0,-2) ul(-2,-1) \(0,-1)"
BPPCF2025,16.0,f,A,2,UR5+ DR2- DL1- UL2+ U2+ R4- D5- L5- ALL4- y2 U6+ R4- D1+ L1+ ALL5-,17,"UR(1,0) DL(4,3) U(2,2) D(4,-4) dr(0,1) dl(2,-2) ul(-1,-2) /(0,1)"
BPPCF2025,16.0,f,A,3,UR1- DR1+ DL3- UL2+ U3- R3- D2+ L6+ ALL3+ y2 U1+ R1+ D2- L4+ ALL3+,15,"UR(2,-2) DR(1,1) DL(-1,3) U(0,-2) L(-4,4) ul(0,1) \(-2,2)"
BPPCF2025,16.0,f,A,4,UR4- DR1+ DL4+ UL3- U2+ R4+ D6+ L6+ ALL4- y2 U0+ R1- D5- L1- ALL4-,15,"DR(1,2) UL(5,1) R(-2,3) dr(0,-1) dl(-4,-4)"
BPPCF2025,16.0,f,A,5,UR4+ DR4- DL5+ UL3- U5- R4- D6+ L0+ ALL3- y2 U3+ R0+ D2- L6+ ALL5+,21,"UR(3,-2) DR(1,0) U(1,-2) D(4,3) L(-2,6) /(-3,-5)"
BarbyCube732017,16.0,c,A,1,UR3+ DR2- DL4+ UL5- U1- R2- D2- L4+ ALL6+ y2 U4+ R2- D2- L4+ ALL5+,18,"UR(1,0) UL(2,1) D(0,2) L(-5,2) ur(-2,2) dl(2,-2) /(-3,4)"
BarbyCube732017,16.0,c,A,2,UR3+ DR4+ DL4+ UL6+ U5+ R3+ D2- L2- ALL4- y2 U3- R6+ D2- L4+ ALL4- UR DR DL,19,"UR(-2,1) DR(4,2) D(2,0) L(4,3) ur(1,1) dl(2,-2) ul(-4,-4)"
BarbyCube732017,16.0,c,A,3,UR0+ DR6+ DL6+ UL2+ U2- R6+ D2- L3+ ALL3+ y2 U4- R4- D2- L2- ALL4+ DL,13,"UR(0,-3) DL(2,1) L(-1,0) dr(-2,-2) ul(4,-4) \(-1,0)"
BarbyCube732017,16.0,c,A,4,UR0+ DR5+ DL5- UL3+ U4- R6+ D1- L2- ALL2- y2 U5- R1- D2- L5- ALL2- DR DL,15,"UR(1,0) DL(1,0) L(3,1) ur(-1,-4) dr(-1,-2) ul(0,-1) \(-3,3)"
BarbyCube732017,16.0,c,A,5,UR2- DR2+ DL4- UL6+ U1- R2+ D4- L1+ ALL3- y2 U5+ R3+ D3+ L3+ ALL3- DR DL UL,15,"DR(-3,2) UL(-3,0) R(1,1) D(-3,3) ur(-2,2) dr(1,1) dl(0,2)"
BatamOpen2018,16.0,d,D,1,UR1+ DR6+ DL2- UL6+ U3+ R1+ D0+ L3+ ALL3- y2 U1- R2- D1+ L1- ALL1- UR DR DL UL,16,"UR(0,1) DR(4,-3) DL(4,0) UL(1,0) U(1,1) R(0,-2) ur(1,-1) /(-2,0)"
BatamOpen2018,16.0,d,D,2,UR1+ DR4+ DL1+ UL1- U6+ R3+ D3- L1- ALL1+ y2 U5- R1+ D2+ L4+ ALL0+ UR DR DL,19,"UR(-5,-5) DR(-3,-2) DL(1,0) U(-1,1) D(0,3) ur(-4,4) dl(0,1) /(1,0)"
BatamOpen2018,16.0,d,D,3,UR5+ DR6+ DL3- UL4- U4+ R5+ D1- L5+ ALL5- y2 U1- R2+ D2+ L1+ ALL3- UR DR UL,17,"UR(-4,-1) DL(2,1) U(-1,1) D(-4,-3) dr(0,1) ul(-3,2) /(-2,0)"
BatamOpen2018,16.0,d,D,4,UR4- DR3+ DL6+ UL3+ U3+ R1+ D2+ L3+ ALL5- y2 U3- R2- D2+ L0+ ALL3+ DL UL,15,"DL(1,0) UL(-1,2) U(-1,1) dl(0,1) ul(2,-3) /(-1,-4) ALL(0,3)"
