competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
CubinginVenteira2025,8.67,f,A,4,UR2- DR4- DL0+ UL0+ U3+ R5- D5- L3+ ALL3- y2 U3- R3- D1- L1- ALL2-,8,UR1- DL3- ul5- ALL2- y2 R3+ U3+ DL1+ /3+
CubinginVenteira2025,8.67,f,A,5,UR4+ DR4- DL3+ UL5+ U2- R0+ D2+ L3+ ALL4- y2 U2- R3- D2- L1- ALL6+,10,DL1+ U5+ D2- dl1+ y2 dl4- ur4+ UL1+ DR2+ UR1+ /2-
CuthbertsOpen2014,8.67,c,A,1,UR2- DR1+ DL2+ UL1- U5+ R2+ D2- L1+ ALL1- y2 U0+ R3+ D1+ L1+ ALL3- DL UL,8,DR1- UL2- dl4- \2+ y2 dl3+ D1- R3- L1-
CuthbertsOpen2014,8.67,c,A,2,UR1- DR2+ DL3+ UL5- U2+ R3+ D3+ L0+ ALL1+ y2 U3- R2- D3- L3- ALL1+,8,UR4+ DR4+ L2+ ul6- y2 dl5+ R1- UL3+ DR3+
CuthbertsOpen2014,8.67,c,A,3,UR2+ DR4- DL1+ UL1- U5+ R5+ D4+ L1- ALL3+ y2 U5+ R1- D5- L1+ ALL0+ DR,9,UR5+ DR1- UL1+ R5+ y2 dl3+ UL5- DL4+ DR1+ \3-
CuthbertsOpen2014,8.67,c,A,4,UR4+ DR3+ DL4+ UL3+ U4- R0+ D3+ L6+ ALL5- y2 U5- R5- D3- L4+ ALL5+ UR DR DL UL,9,DL2+ UL3- R5+ ur4+ \2+ y2 dr3+ R5+ UL5+ DL3+
CuthbertsOpen2014,8.67,c,A,5,UR3+ DR2+ DL6+ UL2+ U5- R1+ D1- L5+ ALL3+ y2 U3- R0+ D4+ L5+ ALL2+ UR DL,9,DR6- DL1- dr2+ \1+ y2 ul4- dr2- U3+ L1- DL4-
DAmicisPuebla2024,8.67,c,A,1,UR1+ DR5- DL0+ UL3- U1- R2- D1- L5- ALL4+ y2 U6+ R5- D0+ L0+ ALL5+,8,DR6- UL4- U5- dl1+ ul1+ ALL1+ y2 U1+ UR5+
DAmicisPuebla2024,8.67,c,A,2,UR2- DR5+ DL4- UL4+ U6+ R1- D1+ L4- ALL2- y2 U3- R4+ D0+ L1+ ALL1-,9,DR2- UL4+ ur4- \1- y2 ul1- ur3- U4- UL1- UR4-
DAmicisPuebla2024,8.67,c,A,3,UR0+ DR1+ DL4- UL4+ U6+ R1- D3+ L0+ ALL2+ y2 U2- R2+ D2- L2+ ALL4+,8,U2+ ul1+ \2- y2 dl4- D4+ L4- UL2+ DR2-
DAmicisPuebla2024,8.67,c,A,4,UR4- DR4+ DL4- UL6+ U1- R3- D4- L0+ ALL1- y2 U3+ R2+ D6+ L5- ALL6+,9,UR1- DR4+ L2- dr6- y2 UL3- DL4- DR2- /2+ ALL5-
DAmicisPuebla2024,8.67,c,A,5,UR1+ DR5+ DL0+ UL6+ U4+ R5- D5- L1+ ALL2- y2 U3- R5+ D5+ L3+ ALL4-,9,UR1- UL2+ L3+ ALL3+ y2 D5- R4+ L3- UR3+ \5-
DFWCubingSummer2024,8.67,e,B,1,UR6+ DR3+ DL3+ UL6+ U5+ R4- D1+ L4- ALL3+ y2 U6+ R4- D1- L2+ ALL3+,9,DR5- UL5- D2- dl5+ y2 dr1- U5+ DL2- DR3+ UR1+
DFWCubingSummer2024,8.67,e,B,2,UR4- DR6+ DL6+ UL5- U6+ R4- D6+ L0+ ALL2- y2 U1+ R6+ D6+ L0+ ALL0+,8,UR4+ DR6- UL1- R4+ ALL2+ y2 dl6+ U1- DR6+
DFWCubingSummer2024,8.67,e,B,3,UR2- DR5+ DL4- UL5- U6+ R3- D3- L3- ALL1- y2 U5- R3- D0+ L2+ ALL1-,8,U1+ D2+ ur5- y2 ul1- ur5- R4- UL2- UR5-
DFWCubingSummer2024,8.67,e,B,4,UR5- DR6+ DL2+ UL2- U1+ R3- D0+ L0+ ALL1+ y2 U4+ R2+ D3- L3+ ALL1+,9,UR2+ U4+ D4+ ur2+ y2 ur6+ D3+ U1+ UL3- UR2-
DFWCubingSummer2024,8.67,e,B,5,UR2+ DR5+ DL4- UL2- U0+ R3+ D0+ L3+ ALL4- y2 U5+ R5- D1+ L4- ALL5+,10,R2+ D1- L3+ /5+ y2 ul2+ D1- U2- UL4+ UR5+ /2+
DFWMegaMentalBreakdown2025,8.67,d,B,1,UR4+ DR4+ DL1+ UL5+ U3- R3+ D4- L3- ALL5- y2 U1+ R5- D5- L4+ ALL3-,9,DR1+ DL3- U6- D1+ /5+ y2 L3- UL1- DR5+ /5-
DFWMegaMentalBreakdown2025,8.67,d,B,2,UR5- DR0+ DL5- UL2+ U5+ R5+ D5+ L2+ ALL5+ y2 U3+ R4+ D5+ L2+ ALL1+,8,UL2- L3+ dl3- y2 R1+ U1- UL2- DR5- ALL4+
DFWMegaMentalBreakdown2025,8.67,d,B,3,UR2- DR6+ DL1+ UL3+ U1+ R3- D6+ L4- ALL1+ y2 U4+ R2+ D0+ L6+ ALL5-,8,DR1- U2- /5+ \1+ y2 dr1+ L4- UL2- UR2-
DFWMegaMentalBreakdown2025,8.67,d,B,4,UR6+ DR4- DL0+ UL5- U1+ R2- D6+ L0+ ALL2- y2 U3- R0+ D1+ L1- ALL4+,9,UL5+ U5+ D2- ul2- ALL6- y2 dr3- D1+ UL3+ DL2-
DFWMegaMentalBreakdown2025,8.67,d,B,5,UR1- DR4+ DL1+ UL6+ U5+ R2+ D4- L1- ALL1- y2 U4- R1- D4+ L2- ALL4-,9,UR4- DR1- UL6- y2 ur5- R3+ UL4+ DL2- DR2- /3-
DFWMegacomp2024,8.67,d,B,1,UR5- DR0+ DL5+ UL4- U1+ R6+ D4+ L2+ ALL2- y2 U5+ R0+ D1- L0+ ALL2-,8,UR1- UL3- D3+ dl6- y2 ul5- dl5- D1+ U5-
DFWMegacomp2024,8.67,d,B,2,UR4- DR1- DL2- UL5+ U6+ R6+ D0+ L3+ ALL1- y2 U2- R4+ D5- L0+ ALL5-,9,UR1- UL6- D3+ /1- \5+ y2 dr2- R3+ U2+ DR5+
DFWMegacomp2024,8.67,d,B,3,UR6+ DR3+ DL1+ UL5- U1+ R6+ D4- L6+ ALL3- y2 U3+ R4- D2- L4+ ALL5-,8,UL2- R3- \6- y2 L1+ DL5- DR5- UR3- \4+
DFWMegacomp2024,8.67,d,B,4,UR3- DR5- DL6+ UL3- U5+ R2+ D1+ L4+ ALL4+ y2 U2+ R3+ D3+ L1+ ALL3+,9,UR1+ DR5+ DL5+ ur2+ y2 dl3+ L1+ UL2- DR3- ALL1+
DFWMegacomp2024,8.67,d,B,5,UR5- DR0+ DL5+ UL6+ U3+ R0+ D2- L1- ALL1+ y2 U4- R2- D4+ L6+ ALL4-,9,UR5+ DL3- U3+ L5+ /6- ALL1+ y2 U4+ DL6+ DR2+
DFWQuietQualifier2024,8.67,d,A,1,UR4- DR2+ DL5+ UL5+ U0+ R4- D6+ L2+ ALL5- y2 U5- R1- D4+ L5+ ALL5-,9,DR1- U1- R5- y2 ul3+ dr4+ ur1- L5- DR4- UR5+
DFWQuietQualifier2024,8.67,d,A,2,UR2+ DR6+ DL2- UL6+ U6+ R4+ D1- L6+ ALL1- y2 U1+ R5- D3+ L4- ALL5-,9,DL3- U2- L5+ \2- y2 R4- U5- UL4+ DR3- \6+
DFWQuietQualifier2024,8.67,d,A,3,UR4+ DR2+ DL5+ UL4+ U5+ R3+ D0+ L4- ALL5+ y2 U3+ R3+ D5- L2- ALL2-,10,UR3+ DL2+ UL5+ U3+ D3+ \4- y2 D3+ DL2+ UR3- /1+
DFWQuietQualifier2024,8.67,d,A,4,UR1- DR1+ DL3- UL2+ U1- R1- D3+ L4- ALL3+ y2 U0+ R5+ D5+ L4- ALL3-,8,DR1+ DL2- L5- dl1- ALL4- y2 L4+ DR5- \2-
DFWQuietQualifier2024,8.67,d,A,5,UR1- DR4- DL1- UL4- U1- R1+ D5- L5- ALL1- y2 U4+ R0+ D2+ L4+ ALL1+,8,UR6- DL2- R2- ALL5- y2 D2- UL4- /3+ \4+
DanishChampionship2024,8.67,f,A,1,UR3- DR1+ DL3+ UL6+ U1- R0+ D2+ L6+ ALL5- y2 U4- R5+ D2- L5- ALL5-,10,DL1- UL2- R2+ D5- dl3- y2 ur1- R1+ L5+ DR2+ UR4+
DanishChampionship2024,8.67,f,A,2,UR6+ DR5+ DL6+ UL5- U5+ R4- D3+ L5+ ALL4- y2 U2- R4- D3- L3- ALL1-,9,DR2- UL6- R5- dr1- ALL3- y2 R2+ DL3+ UR2+ /6+
DanishChampionship2024,8.67,f,A,3,UR2+ DR2- DL5- UL1+ U4+ R1- D3- L6+ ALL3+ y2 U4+ R1+ D5- L2- ALL4-,8,DL2- U5+ R1+ ul3+ y2 UL2+ DR5+ UR6+ \5+
DanishChampionship2024,8.67,f,A,4,UR3+ DR6+ DL2+ UL6+ U0+ R3+ D5- L1+ ALL5- y2 U4- R1+ D1+ L4- ALL3+,8,DL3- U3+ L6- dl1- /6- ALL2+ y2 UL4+ DR1-
DanishChampionship2024,8.67,f,A,5,UR4- DR4- DL3- UL6+ U3- R5+ D4- L0+ ALL2+ y2 U4- R3+ D3+ L0+ ALL4-,9,UR1+ DR2+ DL3- dr4- \3- y2 U4+ DR3- \2+ ALL1-
DanishChampionship2025,8.67,1,B,1,UR5+ DR2- DL3+ UL1+ U6+ R3- D3+ L1+ ALL4- y2 U2+ R5- D0+ L6+ ALL1+,8,DL4- L1- /4- \1- y2 ur2- U1- UL6+ UR5+
DanishChampionship2025,8.67,1,B,2,UR2- DR1- DL2+ UL5+ U3+ R3+ D5+ L1- ALL6+ y2 U4+ R6+ D6+ L4+ ALL4-,8,DL6- U6- ALL4+ y2 dl5- ur1+ UL4- DR6+ /2-
DanishChampionship2025,8.67,1,B,3,UR4- DR1+ DL5- UL0+ U5- R3+ D6+ L3- ALL5+ y2 U5- R1+ D0+ L6+ ALL1+,9,DL2- UL2- U1- ul2+ \5+ y2 dr3+ UL6+ UR1- \1+
DanishChampionship2025,8.67,1,B,4,UR4- DR5- DL5- UL0+ U2- R5+ D2+ L1- ALL5- y2 U5- R4- D3+ L5- ALL0+,9,UR4+ U2+ D4- L6- \5- y2 ur5+ D3- R4+ UL5+
DanishChampionship2025,8.67,1,B,5,UR4- DR2- DL4- UL0+ U2+ R4- D0+ L5- ALL0+ y2 U4+ R1- D1- L5- ALL1-,10,DR2- DL4- U2+ L1+ ul4- y2 ul3- L3- UL4- DR1+ ALL1+
DanishOpen2016,8.67,c,B,1,UR5- DR5+ DL5+ UL4- U6+ R3+ D3+ L1+ ALL1+ y2 U3+ R5+ D0+ L0+ ALL3+ UR UL,9,DR3- DL2+ UL3+ L5+ /2+ y2 R2- UR3- /5+ ALL1+
DanishOpen2016,8.67,c,B,2,UR5+ DR4+ DL6+ UL4+ U4+ R6+ D2- L1+ ALL6+ y2 U4- R2- D2+ L4+ ALL5-,10,UR1- DL4+ R2- L3- ul4+ y2 dr4- L4- DR2- UR4+ ALL1-
