competitionId,mean,roundTypeId,groupId,scrambleNum,scramble,Optimal Movecount,Optimal Solution
ToTheMoon2017,7.9468000000000005,1,B,3,R U' R2 U' F' U' R U2 R' F U,6, F R' F2 R' U R'
ToTheMoon2017,7.9468000000000005,1,B,4,U2 R F' R2 U' F R U R2 U' R2,9, U2 R' U' R' F2 U F U2 F2
ToTheMoon2017,7.9468000000000005,1,B,5,R F U2 F U2 R U2 R' U2 R2 U',8, U R2 F2 R' U' F U F'
SlowNSteadySpring2016,7.9768,d,C,1,U' R' F' U R2 U2 R' U R' U R2,9, F R F' R F' U' F2 R U
SlowNSteadySpring2016,7.9768,d,C,2,R' U2 R U R F' U2 R' U R F',9, F U F U R2 U2 R' U' R
SlowNSteadySpring2016,7.9768,d,C,3,R F' R' U2 F U' R2 U' R2 U2 F,9, F' R' U R2 F2 U' F R F'
SlowNSteadySpring2016,7.9768,d,C,4,U2 R U' F' U2 R2 F' R U R U',9, U F U2 F R2 F' U' R2 U'
SlowNSteadySpring2016,7.9768,d,C,5,U R' U' F U' R U F U' R2 U',4, U' R F' U'
PickeringMiniMorning2024,7.9824,1,A,1,R' U2 R U' F' R2 F' R' U' R' U',10, F U2 F' R F2 R' F U R2 U'
PickeringMiniMorning2024,7.9824,1,A,2,U2 R' U2 R U R' U' F R' F2 U',9, R F R U' F2 U' F U' F'
PickeringMiniMorning2024,7.9824,1,A,3,R F' R2 U' R U2 R' U' F' R U2,7, R2 F' U R' U' R' U
PickeringMiniMorning2024,7.9824,1,A,4,U' R' U' F U' F U2 F R F R,10, F2 U2 F' R F2 R' U F2 U F
PickeringMiniMorning2024,7.9824,1,A,5,R U' F' U' R' U R U2 R2 U2 R,7, R U R' U' F' R2 U'
CerradoOpen2023,7.983,f,B,1,U2 R' F R U2 R' F U' F U' F2,8, R U' F' U R2 U' F U2
CerradoOpen2023,7.983,f,B,2,R F' U2 R2 U2 F R F R U' R',8, F' U2 F U F' R U2 R
CerradoOpen2023,7.983,f,B,3,R' U2 R U R2 F U2 R2 U' R2 U2,6, U R U' F2 U' F
CerradoOpen2023,7.983,f,B,4,U2 F' R U R' U' F' U' R U2 R,7, U' R' F2 R F' R' U2
