,competitionId,eventId,groupId,isExtra,roundTypeId,scramble,scrambleId,scrambleNum,Optimal Movecount,Optimal Solution
953188,BarbeCubingSpring2019,222,E,0,d,F' U' R' U R U' R' U' R' U' R,1132412,5,4, U R2 U F
953421,PugetSoundSpring2019,222,A,0,f,R2 U' R' U' R' U' R U R F' R',1132645,3,4, R F U R'
991370,SantaFeInvierno2019,222,E,1,1,U F' R' U' R' F R U R U' R',1198074,1,4, R U F U2
1007977,IIOpenCarrancubos2019,222,A,1,1,U' R' U2 F' R2 U' R' U' R F' R',1228162,1,4, U' F' U2 F
1017758,QuijoteOpen2019,222,A,0,1,U R' F R U R F U' F U2 F,1241863,1,4, F R U2 F2
1020761,CanadianChampionship2019,222,B,0,d,R F' U' F' R2 F R U R' F' U',1246965,5,4, U F' R2 F2
1036674,MishawakaSummer2019,222,D,1,f,U2 R F' R' U' R' F R2 F' R' U',1272150,1,4, F' U' R2 F
1061666,RestickerUtah2019,222,E,1,1,F R U' R' U' R2 F' R' U R' U2,1313843,1,4, F' U2 R F'
1062606,EconomicsLyceumCube2019,222,B,1,1,U R' F U2 R U R' U R F R,1317371,1,4, R2 F R F2
1066852,ICHBBackToSchool2019,222,B,0,f,U2 R F' U' R2 U2 R2 U2 R2 U' R,1327483,5,4, R' F R' U2
1072961,FiveRiversCubeOpen2019,222,A,1,1,R' U' F' R U R U2 R' U' R' F',1340733,2,4, F2 U R F2
1081005,OregonStateFavorites2019,222,A,0,1,U R' U' F U' R U R' F' U' F,1355930,3,4, F' U2 F' R
1081531,AmaltheaOpen2019,222,A,0,f,U2 R F' R' U' R' F R U R F',1357111,5,4, F2 U' R' U2
1087059,IVCUBIFMA2019,222,B,0,2,U' R' F' U' R U' R' U' R U2 F',1366487,3,4, F2 R2 U F'
1090208,ChangshaAutumn2019,222,C,0,1,U2 R' U' R U' R' F U R' F U',1371172,5,4, F' U R2 U2
1098093,CCCQualificationYakutsk2019,222,B,0,1,R U' R' U' R U2 F' R2 U' R U',1387378,4,4, F' U' R U2
1108885,CubesMastersZhytomyr2019,222,A,0,1,R U' R' U' R' U' R U R' U' R2,1410247,5,4, R2 U R2 U
1115739,MPEIOpen2019,222,G,0,1,R U' R' U' R F R U' R' U' R,1425119,1,4, U F' R' U2
1118356,BremiumWinter2019,222,A,0,1,R' U2 F' R2 U' R' U R' U' F' U',1433611,3,4, U R' F2 U'
1131051,TirolOpen2019,222,B,1,f,U' R' F U F U2 F U2 R U2 R',1459995,2,4, U2 F2 U' R
1141156,PakistanWinter2019,222,A,1,c,F' U' R2 U2 R2 U' R U R U2 R',1478891,1,4, U' R' U2 F
1142416,SurfCoastCubing2019,222,B,0,1,U2 R U' R2 F' U' R U R U' R2,1480441,5,4, R F R U'
1221278,PolishChampionship2021,222,E,0,d,U' R U' R' U' R U2 R' U R F,1696734,2,4, F' U R' U'
1259654,TCGSummerArequipa2022,222,B,0,f,U' R U' F' R' U' R' F R U R',1817242,3,4, R2 F R' U
1274224,NoidaCubeOpen2022,222,A,0,1,R' U' R U R U2 R' U' R' U' F,1858270,5,4, F' R2 U2 R
1275526,OneLookinginCavarzere2022,222,C,1,1,U R' U' R2 F' R2 U' R U R U',1862052,2,4, U2 R U F
1276481,SaintJohnsSpring2022,222,C,0,1,R' U2 F' R U' R' U' F U F R,1864709,2,4, U F2 R F2
1292092,RockinghamRapid2022,222,A,0,f,U2 R' U R U R U' R' U' R' F2,1909603,3,4, F2 U' R2 U2
1300453,Cube4funZawiercie2022,222,A,0,1,U F R U R U' R2 F U2 R U,1936312,2,4, U F2 U' R
1325796,DontDNFDublin2022,222,A,1,d,R U' F' U' R' U' R' U F R U',2000362,1,4, U2 F R' F
1325805,DontDNFDublin2022,222,C,0,d,R U' R' U F U2 R U R' U' F,2000371,1,4, U F2 U2 F'
1350240,RealCube2022,222,B,1,1,U R' F' U' R U R U' F' U' R',2081850,2,4, R2 U R' F
1366343,ABHC2022,222,B,1,f,R' U' F U2 R U R' F' U' R U2,2128620,2,4, U2 F U' F'
1367653,EcuadorNationals2022,222,E,1,1,R' U F R U R U' R2 F U2 R,2134209,1,4, U2 F2 U' R2
1374365,GettothePoint2022,222,E,0,1,R' F U' F R U' R' F2 R' F U',2156320,2,4, F' U' F2 U2
1432110,NorthsideSpringSaturday2022,222,A,0,f,U' R U' R' U' R' U' F R U R,2319822,1,4, F U' F' U2
1461936,IndonesianChampionship2022,222,D,1,1,R' F' R' U' R U R' U F R U,2406177,1,4, F2 R' F' U'
1468277,DunkirkWinter2023,222,A,0,1,R U2 R2 U' R2 U R' F' R U' R,2422952,2,4, F U R2 F2
1473578,PerthSummer2023,222,C,0,1,R U' F' R' U R' F R U R' F,2435207,3,4, F R2 F R'
1493005,KensingtonSummerSunday2023,222,A,0,2,R' F' U2 F U2 R U2 R' U' R U',2484489,5,4, F' U F R'
1505587,BretzelOpen2023,222,A,0,f,F R U R' U' F U' R U R' U',2512188,3,4, U F' U F2
1507142,YerevanOpen2023,222,A,1,f,R' F U2 R U R' U' F' U' F R,2518841,2,4, F2 R' F2 U'
1513279,WichitaArtMuseumWinter2023,222,B,1,d,U R U R U2 R' U' R' U2 F U2,2533980,1,4, U2 F' U R2
1523148,GLSII2023,222,A,0,1,F' U2 R U R' U2 R U' R' U' R,2563769,2,4, U2 R' U' F
1526923,SpeedcubingatSeaworks2023,222,A,0,2,U2 R' F R U R' F R' U' F U',2571391,4,4, U F2 U R2
1572343,GiveBackRPV2023,222,A,0,2,U' R U' F' U' R' U' F R U' R,2679156,4,4, R' U2 F U
1573909,SerenissimaWarmUp2023,222,B,0,f,U' R U' F' U' R' U2 R U' R' U',2681889,1,4, R' U2 F' R2
1600424,WestVisayasChampionship2023,222,C,1,d,U2 R' F R U2 F R U' R U2 R',2759196,1,4, R F U2 R2
1616075,Cubehenge2023,222,C,0,1,R U2 R' U R U' F' U2 R' U' R,2789683,1,4, F R' U2 R'
1620962,LouisianaMegaTwoDay2023,222,C,1,1,U' R2 F' R2 F R U' R' U' R U',2799670,1,4, U' F R F2
1625745,BoraBoraBarraOpen2023,222,A,0,1,R F U' R U R U2 R' U' R' U',2814555,5,4, R2 U2 F' R'
1632345,WestchesterWeeknights32023,222,B,0,1,R' U' R2 F' U2 R2 U' F R U R,2831088,4,4, F R F R'
1642034,CubingReturnsMunichA2023,222,C,0,1,R' U' R U' R' U' R U' R U R,2855237,3,4, U' R2 U' R
1668387,VietnamChampionship2023,222,D,1,1,R U' F' R' U2 R U' F' R' U' R,2936197,1,4, F U' F U
1671564,CubingUSANationals2023,222,E,0,2,U2 R U' F' R' U' R' F R U R',2941702,4,4, R2 F R' U2
1686481,GeorgiaSummerOpen2023,222,A,0,1,R' F U' F' U R2 U' R' U' R' U2,2978860,5,4, F R U R2
1702408,SpokaneSummer2023,222,A,0,1,U' R' F R U R' U' F' R U R',3013526,1,4, R2 F' U' F
1712983,BucharestFunkyCubes2023,222,A,0,f,R' U2 F U2 R U' R' F U R U,3043405,2,4, F2 R U2 R2
1714680,Cube4funDWDebica2023,222,B,0,1,R U2 F' R2 U' F U2 R U R U2,3047012,5,4, U' R' F R2
1721824,RheinlandPfalzOpen2023,222,A,1,1,R U' R U' R' U' R' F' R2 U' F',3065593,1,4, F2 U' F' R2
1722389,GlacierNationalParkOpen2023,222,A,0,1,R' F U R U R U2 R' U' R' U2,3067367,3,4, U R2 F' R
1723833,ViseSaturdayOpen2023,222,B,0,1,U2 R' F R U2 F R U' R U2 R',3070848,1,4, R F U2 R2
1727226,SpeedCubingFestPachuca2023,222,A,1,2,U R2 F R U' R U' F' R2 U' R,3077904,2,4, R2 F R' F
1752501,VCubeSpielB2023,222,C,0,1,U R U' R2 F' U' F R U' R U2,3144012,3,4, F R F' U2
1758711,MinyonsdeTerrassaOpen2023,222,C,1,f,U2 R' U' F R U' R' F2 U' F U',3157490,1,4, F U2 R U'
1760423,SCZSpeedcubingParty2023,222,A,0,f,R U' R' U2 R' U2 F' U2 F R2 U2,3160090,2,4, F R F' U'
1778990,UMAOpen2023,222,C,0,1,U R U2 R' U' R' U F2 R2 U2 R',3207446,1,4, R' F2 U' R
1786505,WarsawCubeMasters2023,222,C,0,d,U' R' F' R2 U' R' U' F R U R,3226795,2,4, R F R F
1820269,TCGSpaceIISantaAnita2023,222,F,0,1,R F U' F U2 R U2 R' U' R U2,3301122,1,4, U F2 R' U2
1826009,UNSASCPrimaveraII2023,222,A,0,f,U' R F' U2 R' U2 F' R' U R' F,3312055,1,4, F U' F2 R'
1864431,ComeBacktoLandvetter2024,222,A,0,2,R' U2 F' R2 U2 R' U' R' U2 F R,3412622,1,4, R' F2 R' F
1876324,Pasde3x3aGatineau2024,222,B,1,2,U R' U' F R U F R U' R U2,3438720,2,4, U2 R' F' U2
1895374,InMemoriamJoseNoles2024,222,E,0,1,R U' R' U' R' U2 R U R F' U',3483284,2,4, U F U R
1911202,EretumI2024,222,A,0,2,U' R U' R' F R U R U' R2 F,3517897,3,4, F2 U' R U2
1919358,IceCubingSzczecinek2024,222,C,0,1,R' U F U2 R U' R' U' F U' F,3534551,4,4, F2 U R U2
1931660,BeginnerCubingDelmenhorst2024,222,B,1,2,U2 R' U' R2 F' R' U R' U2 R2 U',3561334,2,4, U' R2 F U'
1941627,LuoyangSpring2024,222,E,1,d,U2 R' F2 U F R U' R' U' R U,3582435,1,4, U F U2 F'
1941814,RobinsonChonburiCubing2024,222,B,0,1,U' R' F' R U2 R U' R' U' R' F',3582622,1,4, F2 R2 U R'
2035618,GulfofFinland2024,222,A,0,1,R F' U2 F' R' U' R' F R U R,3770417,3,4, F U F R'
2070396,SriLankanNationals2024,222,D,0,e,U' R' U' R' U2 F' R U' R' U' F,3844421,4,4, F' R' U F'
2149061,GiocAostaCubeOpen2024,222,C,1,1,R' U2 R U2 R' U2 F' U2 F R U2,4008705,2,4, U F R F'
2202049,IITeresinaBrightCube2024,222,A,0,c,U R U2 R' U' R' U F2 R2 U2 R',4122392,2,4, R' F2 U' R
2206312,TarnovoEndOfSummer2024,222,C,1,d,U' R' F' U' F R2 U' R2 U2 R2 U2,4128238,1,4, F R' F' R'
2210740,ItalianOpen2024,222,B,0,1,U' F' R2 U' R' U' R' U2 F R2 U2,4134702,3,4, U' F2 R F'
2223738,AnibalaoCubo2024,222,B,0,1,R' F' U' R U R U2 R' U' R' U',4167488,3,4, R2 U2 F R
2233090,ChimehuinalCubo2024,222,A,1,f,R' F U R U' R' F U' F R U',4183564,1,4, R' U F2 R
2235669,CubomaniaMonteria2024,222,A,1,d,U2 R' U R U2 R U' R' U' R' U2,4189106,1,4, R' U R2 U2
2250418,BrazosCubingFall2024,222,A,1,2,F R U' R U' R' U' R' U' R U,4219077,2,4, R U2 R' F'
2279224,BasauriOpen2024,222,A,1,f,R' U2 R U' R U' R' U' R U2 R2,4274204,1,4, U' R U' R
2295862,MurgiJovenOpen2024,222,B,0,1,U2 R' F U' R2 U2 R2 U2 R2 U' R',4304152,5,4, R F' R U2
2312354,ShonanAM2024,222,C,1,c,U R U' R' U' R' U' R U' R U',4333458,2,4, U R' U2 R
2314741,TurnNSolveCaMaNaVa2024,222,B,0,c,R U' F' U' R2 U F U R U R,4338518,4,4, R' U' F2 R2
2328790,BristolWinterBeginners2024,222,B,0,c,U' R' F' U' F R2 U2 R2 F R2 U',4361350,5,4, R F U F2
2334781,OpenChristmasCubeHuancayo2024,222,D,0,2,U R U' R' U' R' U' R U' R' U',4376740,3,4, U R U2 R
2335954,GallopinKentuckyWinter2024,222,B,1,2,U' R' U' R2 F' R' U R' U2 F U2,4378322,2,4, F2 U2 F2 R2
2344437,LigaSLPJornadaNegro2024,222,A,0,1,R' U2 F U2 R U' R' U' F' U' F,4394551,2,4, F' R' F' R2
