competitionId,Ao5,roundTypeId,groupId,scrambleNum,scramble,Optimal Movecount,Optimal Solution
SunmarkeDubaiOpenII2017,7.48,d,B,5,R' U' F' U2 F R2 U' F' R2 U' F',8, F R2 F' R' F2 U' R F'
VedrunaBalaguerOpen2018,7.48,d,C,1,U2 R' U2 R U' R' U' F R2 U R',8, U' R' F R2 F R2 F2 U2
VedrunaBalaguerOpen2018,7.48,d,C,2,U2 R' U2 F' R2 F' R' U' R U' F,7, F' U F R' F' R' F2
VedrunaBalaguerOpen2018,7.48,d,C,3,U F U' R U2 R' F2 R U2 R U',9, F2 U2 F U' R U' R U2 R'
VedrunaBalaguerOpen2018,7.48,d,C,4,R U' R' U2 R' F' R2 U R' U' F2,8, U' F U2 R' F2 R U' F
VedrunaBalaguerOpen2018,7.48,d,C,5,R U' R2 U2 F R' U' F U' R U,9, F' U2 F U2 F2 U F2 U' R'
Pocoes2018,7.5,1,B,1,U' R' U' R F R U2 R U' R U2,9, U2 R' U2 R U R2 U2 F' U'
Pocoes2018,7.5,1,B,2,R' U2 F' R U' R' F2 R U' R' U',8, U R U' F U' F R F2
Pocoes2018,7.5,1,B,3,U R F' R2 U F U F' U2 R U',9, F R2 U' F U F' U2 R2 F2
Pocoes2018,7.5,1,B,4,U2 R' U2 F U2 R2 U' R' U' R2 F,6, F2 R' U R2 U2 F2
Pocoes2018,7.5,1,B,5,U' R' U' F' R2 F' U2 R' U2 R U2,6, F2 U F' R F U
CubingKeralaCubezoneOpen2018,7.54,1,D,1,U' R U2 F' U' R' U' R' F' U' F2,8, F2 U R' F' U' F2 R2 U
CubingKeralaCubezoneOpen2018,7.54,1,D,2,U' R U' F' R' U2 R F' R' U2 R,8, F U2 F' U' F2 U F2 U
CubingKeralaCubezoneOpen2018,7.54,1,D,3,R' U2 R U R' U R2 U2 R' U' R',8, U' R U2 R' U2 R U' R
CubingKeralaCubezoneOpen2018,7.54,1,D,4,R U' R' U F' U F U' F U' F,8, R' F R2 F2 U2 F R F'
CubingKeralaCubezoneOpen2018,7.54,1,D,5,U R' F2 R2 U' R' F R U R' U,9, U' R2 F U' F' R F2 R U'
IndianNationals2015,7.55,2,E,1,R F' R' U' R' U R' F' U' F U',8, U2 R F R F' U' R F
IndianNationals2015,7.55,2,E,2,R U2 F' U' F' R' U2 F U2 R U,7, U F2 U F' R' U R'
IndianNationals2015,7.55,2,E,3,F U' R U R' U' F' U2 F R U',7, U2 R' F U F2 U' F2
IndianNationals2015,7.55,2,E,4,U R U2 R' U R' F R2 U' F2 R2,10, F U F2 U' F R U F2 R2 U
IndianNationals2015,7.55,2,E,5,U' R2 U R' F U' R U2 R' U R2,8, U' R U' F2 R' F R2 F'
WilerWurfelfest2019,7.55,1,A,1,U R' U' F' U' R U R U' R2 U',8, U F' U2 F U2 R U F
WilerWurfelfest2019,7.55,1,A,2,R U R' F R2 F' R' U R U2 R2,7, R F' U' F R2 U' R'
WilerWurfelfest2019,7.55,1,A,3,U F' R U R U2 F' R' U' R U',8, F2 R' U F2 R' U' R' U'
WilerWurfelfest2019,7.55,1,A,4,U' R U' F' R' U' R' F R U' R,6, R' U2 R F R' U
WilerWurfelfest2019,7.55,1,A,5,R U2 R2 U2 R2 F' U' R' U2 R' F,7, F' R' F' U2 R' U F'
GLSFinal2017,7.57,2,A,1,R' U F R U R' U2 F R2 U' R2,7, F U2 R' F R' U' R'
GLSFinal2017,7.57,2,A,2,R' F U' F R2 U' R' U' R' U2 R,7, U R U F' U F' R
GLSFinal2017,7.57,2,A,3,R' F R F' R2 F' R2 F R U R,8, R' U F2 U R' F2 U2 F'
GLSFinal2017,7.57,2,A,4,U2 R' F U' F R2 F R U R' U',7, U2 F U' F' R U2 F'
GLSFinal2017,7.57,2,A,5,U2 R' F2 R U' R' U2 F' U R' F,9, U' F R2 U2 F' R F U' R2
GunesliSinavCubeWeekend2023,7.6,2,A,1,R F U2 F U' F R U2 R' U2 R2,9, F U R2 U' F U2 F R2 F2
GunesliSinavCubeWeekend2023,7.6,2,A,2,U' R' F' U' R U' R U2 R2 U2 F2,9, F R2 U2 R' U R F' R F'
GunesliSinavCubeWeekend2023,7.6,2,A,3,U R' U2 R U R F' R2 F R U,8, F2 U' F' U2 R' F' R2 F
GunesliSinavCubeWeekend2023,7.6,2,A,4,R U' R' U' R' U2 F R2 U2 F' U',7, U' R' F2 U R2 U2 F'
GunesliSinavCubeWeekend2023,7.6,2,A,5,U' R' U2 R2 F' R2 F U' F U' F',8, R F' U R' U R F R'
Indiana2016,7.62,d,F,1,U2 R' F R2 F' R U2 R' U' R' U',8, R2 U F' U2 F U R2 U2
Indiana2016,7.62,d,F,2,R2 F' U2 F' U' R2 U2 F U' R U2,10, F2 U R F R' F2 R' F R' F
Indiana2016,7.62,d,F,3,R' F2 U' F R F U' R U R' F,6, F' R2 U R F' U2
Indiana2016,7.62,d,F,4,R' U2 F U F2 U2 R U' R U' R2,10, F R' U' R' U' F U' R F R2
Indiana2016,7.62,d,F,5,U' R' U2 R2 U2 R2 U2 F U' F U',6, U F' U F' R' U
LongstoneCityBlindOpen2024,7.62,1,B,1,U R' F U' F' U' R U' F' U2 R,8, F2 U' F R2 F R' U2 F2
LongstoneCityBlindOpen2024,7.62,1,B,2,U' R' F' U' R U' R' F R F' R2,7, F' U R' F2 R' F U'
