competitionId,roundTypeId,groupId,isExtra,scrambleNum,scramble,Half Turn Count
CervantesCubea2022,1,C,0,3,U2 R' U2 R2 U2 R' U2 R2 F R U2,7
GermanOpen2014,1,B,0,3,R2 U2 R2 U2 F R U2 R' F R2 U2,7
PictOpen2018,1,C,0,2,U2 R U2 F' R2 U2 R2 U' R2 F U2,7
YJKL2023,1,F,0,4,R U2 R' U2 R U2 F U2 F2 R2 U2,7
SiedlceOpen2022,1,A,0,4,R' U2 R2 U2 R' U2 R' F' U2 R2 U2,7
WestLondonOpen2022,f,B,0,3,U2 R' F2 U2 F U' F2 U2 F U2 R2,7
RoseCity2016,1,B,0,5,R' U2 R2 F' R2 F2 U2 F U2 R U2,7
BaliDiscoveryMasters2024,c,A,0,2,R U2 R2 U' R2 U2 R2 U F2 R U2,7
ParaguayNationals2019,f,A,0,4,R2 F R2 U2 R2 F U2 F U2 F U2,7
StFrancisWinterOpen2015,f,F,0,5,F U2 R U2 R' F2 U2 R2 U2 R' U2,7
Q8speedcubinginKSE2023,1,D,1,2,U2 R U2 R2 F U' F2 R2 F' U2 R2,7
