competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
CamunialCubo2024,2.6,f,B,1,R U2 R' U R F' U2 R U' R2 U',9.0, F R' F2 U' R F2 U2 R F
CamunialCubo2024,2.6,f,B,2,R F' R' U' R U2 F U' F U2 R,9.0, F U R' F2 R F U2 R F
CamunialCubo2024,2.6,f,B,3,R' F U' F R U2 R F U' R U,9.0, F2 U2 F U2 F R U2 R2 U'
CamunialCubo2024,2.6,f,B,4,R' U2 F' R U' F U2 R U' R U',8.0, U F R' F' U2 R' U F'
CamunialCubo2024,2.6,f,B,5,R U' R' U R' F R' F U' R U',8.0, U2 F' R2 F R2 F2 R' F2
CollegeStationQualifier2017,2.6,1,B,1,R' F2 U' R U R' U2 F R U' F,9.0, U F' U2 F' U' F R2 F' R'
CollegeStationQualifier2017,2.6,1,B,2,U R U2 F' R' F' R2 U R' U2 R,10.0, F U R' U2 F2 U R F2 R U2
CollegeStationQualifier2017,2.6,1,B,3,U' F U2 F2 R U' R' F U2 F2 R2,10.0, F U' F R2 F2 U' F' U R2 U2
CollegeStationQualifier2017,2.6,1,B,4,R U' F' U2 R' U2 R U' R U' R2,10.0, F U F' U2 R2 F R' F2 R' U2
CollegeStationQualifier2017,2.6,1,B,5,R' U2 R' U2 R2 U2 R2 F R U R,8.0, R' U' R' F' U2 R' U2 R
CubeCampinKanazawa2014,2.6,1,B,1,F U' F U' R U2 R' U2 F2 U' R,8.0, U' R' U' F U2 F U2 F'
CubeCampinKanazawa2014,2.6,1,B,2,R' F' R U2 R' U2 F R U R2 U2,10.0, F U F2 U F R' U2 R' F2 R'
CubeCampinKanazawa2014,2.6,1,B,3,R U2 R2 U' F R2 U2 F' U' R2 U2,9.0, F U' R U R' U F U2 F2
CubeCampinKanazawa2014,2.6,1,B,4,U' R U' R2 U2 R F' U R U2 R2,9.0, R2 U2 F' U F2 U2 F' R F'
CubeCampinKanazawa2014,2.6,1,B,5,U' R' F U2 F2 R2 U' R' U R U',10.0, R U R' F U' R U2 R' U2 F'
Cubetcha2015,2.6,2,C,1,R' U' R U2 R' U' F R U' R' F,9.0, F U' R' F' U2 R F' U' F'
Cubetcha2015,2.6,2,C,2,R' U2 R U2 R' F2 R U2 R' U' R2,9.0, F R F R2 U F' U' F U'
Cubetcha2015,2.6,2,C,3,R' U' F2 U2 F U R U' R U' R',8.0, F U R2 U' R2 U F R2
Cubetcha2015,2.6,2,C,4,R' U' R2 U' R2 F U' F' U2 R2 U',9.0, U2 R F2 R2 U R' U' R U2
Cubetcha2015,2.6,2,C,5,U' R' U' F' R' U2 R' F R2 U' R',9.0, R F' R2 F R2 F' R F' R
CubingATMOSphere2025,2.6,2,A,1,F U2 R2 U2 R' U' R U' R2 U2 F',10.0, F U2 R2 U R' U R' U2 R2 F'
CubingATMOSphere2025,2.6,2,A,2,F U2 R U' R' F U2 F2 U2 F R,9.0, R2 F' R F' U' F U2 F U
CubingATMOSphere2025,2.6,2,A,3,F' U' R' U2 R' F U R2 U' R' U,9.0, F R2 F R F2 R F U' R'
CubingATMOSphere2025,2.6,2,A,4,R U' F U' R U' R' U' F2 U' F',10.0, F R U' F2 R F' R F R U2
